Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR1743783,302,26708064298,PRJEB15289,SAMEA4051560,ERX1812989,HiSeq X Ten,DN461383W:A3,PAIRED,RANDOM,GENOMIC,Lethrinops gossei,ILLUMINA,ERP017005,Lethrinops gossei
ERR1749396,302,25012334600,PRJEB15289,SAMEA4032033,ERX1818576,HiSeq X Ten,DN461233J:A1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749397,302,28152291114,PRJEB15289,SAMEA4033247,ERX1818577,HiSeq X Ten,DN461233J:B1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749398,302,27622558652,PRJEB15289,SAMEA4032034,ERX1818578,HiSeq X Ten,DN461233J:C1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749399,302,30170849450,PRJEB15289,SAMEA4033248,ERX1818579,HiSeq X Ten,DN461233J:D1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749400,302,18720703368,PRJEB15289,SAMEA4032035,ERX1818580,HiSeq X Ten,DN461233J:E1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749401,302,24696117950,PRJEB15289,SAMEA4033249,ERX1818581,HiSeq X Ten,DN461233J:F1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749402,302,25420674236,PRJEB15289,SAMEA4032036,ERX1818582,HiSeq X Ten,DN461233J:G1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749403,302,34090634290,PRJEB15289,SAMEA4033250,ERX1818583,HiSeq X Ten,DN461233J:H1,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749404,302,30051580590,PRJEB15289,SAMEA4032037,ERX1818584,HiSeq X Ten,DN461233J:A2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749405,302,23228266278,PRJEB15289,SAMEA4033251,ERX1818585,HiSeq X Ten,DN461233J:B2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749406,302,28347679376,PRJEB15289,SAMEA4032038,ERX1818586,HiSeq X Ten,DN461233J:C2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749407,302,28098976638,PRJEB15289,SAMEA4033252,ERX1818587,HiSeq X Ten,DN461233J:D2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749408,302,29233565270,PRJEB15289,SAMEA4032039,ERX1818588,HiSeq X Ten,DN461233J:E2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749409,302,25665482382,PRJEB15289,SAMEA4033253,ERX1818589,HiSeq X Ten,DN461233J:F2,PAIRED,RANDOM,GENOMIC,Petrotilapia genalutea,ILLUMINA,ERP017005,Petrotilapia genalutea
ERR1749410,302,30626780662,PRJEB15289,SAMEA4032040,ERX1818590,HiSeq X Ten,DN461233J:G2,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749411,302,33000460798,PRJEB15289,SAMEA4033254,ERX1818591,HiSeq X Ten,DN461233J:H2,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749412,302,30093909514,PRJEB15289,SAMEA4032041,ERX1818592,HiSeq X Ten,DN461233J:A3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749413,302,27986162726,PRJEB15289,SAMEA4033255,ERX1818593,HiSeq X Ten,DN461233J:B3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749414,302,28578381404,PRJEB15289,SAMEA4032042,ERX1818594,HiSeq X Ten,DN461233J:C3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749415,302,23138427016,PRJEB15289,SAMEA4033256,ERX1818595,HiSeq X Ten,DN461233J:D3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749416,302,26857670568,PRJEB15289,SAMEA4032107,ERX1818596,HiSeq X Ten,DN461234K:E3,PAIRED,RANDOM,GENOMIC,Tyrannochromis macrostoma,ILLUMINA,ERP017005,Tyrannochromis macrostoma
ERR1749417,302,28031447928,PRJEB15289,SAMEA4033303,ERX1818597,HiSeq X Ten,DN461234K:F3,PAIRED,RANDOM,GENOMIC,Tyrannochromis macrostoma,ILLUMINA,ERP017005,Tyrannochromis macrostoma
ERR1749418,302,30053097536,PRJEB15289,SAMEA4033304,ERX1818598,HiSeq X Ten,DN461234K:B4,PAIRED,RANDOM,GENOMIC,Buccochromis nototaenia,ILLUMINA,ERP017005,Buccochromis nototaenia
ERR1749419,302,29488970898,PRJEB15289,SAMEA4032108,ERX1818599,HiSeq X Ten,DN461234K:C4,PAIRED,RANDOM,GENOMIC,Buccochromis nototaenia,ILLUMINA,ERP017005,Buccochromis nototaenia
ERR1749420,302,32794644174,PRJEB15289,SAMEA4033305,ERX1818600,HiSeq X Ten,DN461234K:D4,PAIRED,RANDOM,GENOMIC,Buccochromis nototaenia,ILLUMINA,ERP017005,Buccochromis nototaenia
ERR1749421,302,31505152192,PRJEB15289,SAMEA4032109,ERX1818601,HiSeq X Ten,DN461234K:E4,PAIRED,RANDOM,GENOMIC,Protomelas similis,ILLUMINA,ERP017005,Protomelas similis
ERR1749422,302,26684346124,PRJEB15289,SAMEA4033306,ERX1818602,HiSeq X Ten,DN461234K:F4,PAIRED,RANDOM,GENOMIC,Protomelas similis,ILLUMINA,ERP017005,Protomelas similis
ERR1749423,302,28527923546,PRJEB15289,SAMEA4032110,ERX1818603,HiSeq X Ten,DN461234K:G4,PAIRED,RANDOM,GENOMIC,Protomelas similis,ILLUMINA,ERP017005,Protomelas similis
ERR1749424,302,33112703628,PRJEB15289,SAMEA4033307,ERX1818604,HiSeq X Ten,DN461234K:H4,PAIRED,RANDOM,GENOMIC,Dimidiochromis kiwinge,ILLUMINA,ERP017005,Dimidiochromis kiwinge
ERR1749425,302,31275921206,PRJEB15289,SAMEA4032111,ERX1818605,HiSeq X Ten,DN461234K:A5,PAIRED,RANDOM,GENOMIC,Dimidiochromis kiwinge,ILLUMINA,ERP017005,Dimidiochromis kiwinge
ERR1749426,302,25207647362,PRJEB15289,SAMEA4033308,ERX1818606,HiSeq X Ten,DN461234K:B5,PAIRED,RANDOM,GENOMIC,Dimidiochromis kiwinge,ILLUMINA,ERP017005,Dimidiochromis kiwinge
ERR1749427,302,32681296628,PRJEB15289,SAMEA4032112,ERX1818607,HiSeq X Ten,DN461234K:C5,PAIRED,RANDOM,GENOMIC,Dimidiochromis strigatus,ILLUMINA,ERP017005,Dimidiochromis strigatus
ERR1749428,302,33208444574,PRJEB15289,SAMEA4033309,ERX1818608,HiSeq X Ten,DN461234K:D5,PAIRED,RANDOM,GENOMIC,Dimidiochromis strigatus,ILLUMINA,ERP017005,Dimidiochromis strigatus
ERR1749429,302,32266262558,PRJEB15289,SAMEA4033310,ERX1818609,HiSeq X Ten,DN461234K:F5,PAIRED,RANDOM,GENOMIC,Mylochromis anaphyrmus,ILLUMINA,ERP017005,Mylochromis anaphyrmus
ERR1749430,302,30727927710,PRJEB15289,SAMEA4032113,ERX1818610,HiSeq X Ten,DN461234K:G5,PAIRED,RANDOM,GENOMIC,Mylochromis anaphyrmus,ILLUMINA,ERP017005,Mylochromis anaphyrmus
ERR1749431,302,33751178438,PRJEB15289,SAMEA4033311,ERX1818611,HiSeq X Ten,DN461234K:H5,PAIRED,RANDOM,GENOMIC,Mylochromis anaphyrmus,ILLUMINA,ERP017005,Mylochromis anaphyrmus
ERR1749432,302,26232032872,PRJEB15289,SAMEA4032114,ERX1818612,HiSeq X Ten,DN461234K:C6,PAIRED,RANDOM,GENOMIC,Taeniolethrinops praeorbitalis,ILLUMINA,ERP017005,Taeniolethrinops praeorbitalis
ERR1749433,302,33143274786,PRJEB15289,SAMEA4033312,ERX1818613,HiSeq X Ten,DN461234K:D6,PAIRED,RANDOM,GENOMIC,Taeniolethrinops praeorbitalis,ILLUMINA,ERP017005,Taeniolethrinops praeorbitalis
ERR1749434,302,30106925412,PRJEB15289,SAMEA4033313,ERX1818614,HiSeq X Ten,DN461234K:E6,PAIRED,RANDOM,GENOMIC,Taeniolethrinops furcicauda,ILLUMINA,ERP017005,Taeniolethrinops furcicauda
ERR1749435,302,29794163642,PRJEB15289,SAMEA4032115,ERX1818615,HiSeq X Ten,DN461234K:F6,PAIRED,RANDOM,GENOMIC,Taeniolethrinops furcicauda,ILLUMINA,ERP017005,Taeniolethrinops furcicauda yellow
ERR1749436,302,28959824920,PRJEB15289,SAMEA4033314,ERX1818616,HiSeq X Ten,DN461234K:G6,PAIRED,RANDOM,GENOMIC,Lethrinops longipinnis,ILLUMINA,ERP017005,Lethrinops longipinnis
ERR1749437,302,36536657318,PRJEB15289,SAMEA4033315,ERX1818617,HiSeq X Ten,DN461234K:H6,PAIRED,RANDOM,GENOMIC,Lethrinops longipinnis,ILLUMINA,ERP017005,Lethrinops longipinnis
ERR1749438,302,31216861180,PRJEB15289,SAMEA4032123,ERX1818618,HiSeq X Ten,DN461234K:A7,PAIRED,RANDOM,GENOMIC,Tramitichromis brevis,ILLUMINA,ERP017005,Tramitichromis brevis
ERR1749439,302,31384094586,PRJEB15289,SAMEA4033316,ERX1818619,HiSeq X Ten,DN461234K:B7,PAIRED,RANDOM,GENOMIC,Tramitichromis brevis,ILLUMINA,ERP017005,Tramitichromis brevis
ERR1749440,302,26163608732,PRJEB15289,SAMEA4032124,ERX1818620,HiSeq X Ten,DN461234K:C7,PAIRED,RANDOM,GENOMIC,Sciaenochromis benthicola,ILLUMINA,ERP017005,Sciaenochromis benthicola
ERR1749441,302,32866859018,PRJEB15289,SAMEA4033317,ERX1818621,HiSeq X Ten,DN461234K:D7,PAIRED,RANDOM,GENOMIC,Sciaenochromis benthicola,ILLUMINA,ERP017005,Sciaenochromis benthicola
ERR1749442,302,32028532688,PRJEB15289,SAMEA4033318,ERX1818622,HiSeq X Ten,DN461234K:F7,PAIRED,RANDOM,GENOMIC,Diplotaxodon limnothrissa,ILLUMINA,ERP017005,Diplotaxodon limnothrissa black pelvis
ERR1749443,302,30707657772,PRJEB15289,SAMEA4032125,ERX1818623,HiSeq X Ten,DN461234K:G7,PAIRED,RANDOM,GENOMIC,Diplotaxodon apogon,ILLUMINA,ERP017005,Diplotaxodon apogon
ERR1749444,302,30006442764,PRJEB15289,SAMEA4032126,ERX1818624,HiSeq X Ten,DN461234K:C8,PAIRED,RANDOM,GENOMIC,Rhamphochromis woodi,ILLUMINA,ERP017005,Rhamphochromis woodi
ERR1749445,302,31201985868,PRJEB15289,SAMEA4033320,ERX1818625,HiSeq X Ten,DN461234K:D8,PAIRED,RANDOM,GENOMIC,Maylandia emmiltos,ILLUMINA,ERP017005,Maylandia emmiltos
ERR1749446,302,34719625394,PRJEB15289,SAMEA4032127,ERX1818626,HiSeq X Ten,DN461234K:E8,PAIRED,RANDOM,GENOMIC,Maylandia emmiltos,ILLUMINA,ERP017005,Maylandia emmiltos
ERR1749447,302,30585139694,PRJEB15289,SAMEA4033321,ERX1818627,HiSeq X Ten,DN461234K:F8,PAIRED,RANDOM,GENOMIC,Pseudotropheus fainzilberi,ILLUMINA,ERP017005,Maylandia fainzilberi
ERR1749448,302,38587622066,PRJEB15289,SAMEA4032128,ERX1818628,HiSeq X Ten,DN461234K:G8,PAIRED,RANDOM,GENOMIC,Pseudotropheus fainzilberi,ILLUMINA,ERP017005,Maylandia fainzilberi
ERR1749449,302,33650461136,PRJEB15289,SAMEA4033322,ERX1818629,HiSeq X Ten,DN461234K:H8,PAIRED,RANDOM,GENOMIC,Pseudotropheus fainzilberi,ILLUMINA,ERP017005,Maylandia fainzilberi
ERR1749450,302,33599677118,PRJEB15289,SAMEA4032129,ERX1818630,HiSeq X Ten,DN461234K:A9,PAIRED,RANDOM,GENOMIC,Pseudotropheus fainzilberi,ILLUMINA,ERP017005,Maylandia fainzilberi
ERR1749451,302,38743509030,PRJEB15289,SAMEA4032130,ERX1818631,HiSeq X Ten,DN461234K:G9,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749452,302,33059341738,PRJEB15289,SAMEA4032131,ERX1818632,HiSeq X Ten,DN461234K:A10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749453,302,40049510144,PRJEB15289,SAMEA4033324,ERX1818633,HiSeq X Ten,DN461234K:B10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749454,302,31532999310,PRJEB15289,SAMEA4032132,ERX1818634,HiSeq X Ten,DN461234K:C10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749455,302,27531312070,PRJEB15289,SAMEA4033325,ERX1818635,HiSeq X Ten,DN461234K:D10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749456,302,26016037942,PRJEB15289,SAMEA4033326,ERX1818636,HiSeq X Ten,DN461234K:E10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749457,302,27999362542,PRJEB15289,SAMEA4032134,ERX1818637,HiSeq X Ten,DN461234K:F10,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749458,302,42197589636,PRJEB15289,SAMEA4033327,ERX1818638,HiSeq X Ten,DN461234K:A11,PAIRED,RANDOM,GENOMIC,Lethrinops gossei,ILLUMINA,ERP017005,Lethrinops gossei
ERR1749459,302,28028089990,PRJEB15289,SAMEA4032136,ERX1818639,HiSeq X Ten,DN461234K:C11,PAIRED,RANDOM,GENOMIC,Diplotaxodon sp. 'similis',ILLUMINA,ERP017005,Diplotaxodon similis large
ERR1749460,302,29005644360,PRJEB15289,SAMEA4033329,ERX1818640,HiSeq X Ten,DN461234K:D11,PAIRED,RANDOM,GENOMIC,Diplotaxodon sp. 'similis',ILLUMINA,ERP017005,Diplotaxodon similis
ERR1749461,302,31586387172,PRJEB15289,SAMEA4032043,ERX1818641,HiSeq X Ten,DN461233J:E3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749462,302,31674592010,PRJEB15289,SAMEA4033257,ERX1818642,HiSeq X Ten,DN461233J:F3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749463,302,31255445908,PRJEB15289,SAMEA4032044,ERX1818643,HiSeq X Ten,DN461233J:G3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749464,302,32609311908,PRJEB15289,SAMEA4033258,ERX1818644,HiSeq X Ten,DN461233J:H3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749465,302,30103416474,PRJEB15289,SAMEA4032045,ERX1818645,HiSeq X Ten,DN461233J:A4,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749466,302,28369403746,PRJEB15289,SAMEA4033259,ERX1818646,HiSeq X Ten,DN461233J:B4,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP017005,Trematocranus placodon
ERR1749467,302,31292027772,PRJEB15289,SAMEA4032046,ERX1818647,HiSeq X Ten,DN461233J:C4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749468,302,34020213326,PRJEB15289,SAMEA4033260,ERX1818648,HiSeq X Ten,DN461233J:D4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749469,302,34427438884,PRJEB15289,SAMEA4032047,ERX1818649,HiSeq X Ten,DN461233J:E4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749470,302,31025248220,PRJEB15289,SAMEA4033261,ERX1818650,HiSeq X Ten,DN461233J:F4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749471,302,27749771622,PRJEB15289,SAMEA4032048,ERX1818651,HiSeq X Ten,DN461233J:G4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749472,302,29238810708,PRJEB15289,SAMEA4033262,ERX1818652,HiSeq X Ten,DN461233J:H4,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749473,302,32422463602,PRJEB15289,SAMEA4032049,ERX1818653,HiSeq X Ten,DN461233J:A5,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749474,302,30179240822,PRJEB15289,SAMEA4033263,ERX1818654,HiSeq X Ten,DN461233J:B5,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749475,302,35057801672,PRJEB15289,SAMEA4032050,ERX1818655,HiSeq X Ten,DN461233J:C5,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
ERR1749476,302,35200683912,PRJEB15289,SAMEA4033264,ERX1818656,HiSeq X Ten,DN461233J:D5,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749477,302,30597568806,PRJEB15289,SAMEA4032051,ERX1818657,HiSeq X Ten,DN461233J:E5,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749478,302,30800021150,PRJEB15289,SAMEA4033265,ERX1818658,HiSeq X Ten,DN461233J:F5,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749479,302,29741568530,PRJEB15289,SAMEA4032052,ERX1818659,HiSeq X Ten,DN461233J:G5,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749480,302,31241932918,PRJEB15289,SAMEA4033266,ERX1818660,HiSeq X Ten,DN461233J:H5,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749481,302,35006726224,PRJEB15289,SAMEA4032053,ERX1818661,HiSeq X Ten,DN461233J:A6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749482,302,30062766972,PRJEB15289,SAMEA4033267,ERX1818662,HiSeq X Ten,DN461233J:B6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749483,302,33655456216,PRJEB15289,SAMEA4032054,ERX1818663,HiSeq X Ten,DN461233J:C6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749484,302,32295963956,PRJEB15289,SAMEA4033268,ERX1818664,HiSeq X Ten,DN461233J:D6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749485,302,32667833166,PRJEB15289,SAMEA4032055,ERX1818665,HiSeq X Ten,DN461233J:E6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749486,302,32476210542,PRJEB15289,SAMEA4033269,ERX1818666,HiSeq X Ten,DN461233J:F6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749487,302,32268481352,PRJEB15289,SAMEA4032056,ERX1818667,HiSeq X Ten,DN461233J:G6,PAIRED,RANDOM,GENOMIC,Eclectochromis ornatus,ILLUMINA,ERP017005,Protomelas ornatus
ERR1749488,302,33208383872,PRJEB15289,SAMEA4033270,ERX1818668,HiSeq X Ten,DN461233J:H6,PAIRED,RANDOM,GENOMIC,Rhamphochromis longiceps,ILLUMINA,ERP017005,Rhamphochromis longiceps
ERR1749489,302,32372652024,PRJEB15289,SAMEA4032057,ERX1818669,HiSeq X Ten,DN461233J:A7,PAIRED,RANDOM,GENOMIC,Rhamphochromis longiceps,ILLUMINA,ERP017005,Rhamphochromis longiceps
ERR1749490,302,33576025686,PRJEB15289,SAMEA4033271,ERX1818670,HiSeq X Ten,DN461233J:B7,PAIRED,RANDOM,GENOMIC,Rhamphochromis longiceps,ILLUMINA,ERP017005,Rhamphochromis longiceps
ERR1749491,302,33874689190,PRJEB15289,SAMEA4032058,ERX1818671,HiSeq X Ten,DN461233J:C7,PAIRED,RANDOM,GENOMIC,Rhamphochromis longiceps,ILLUMINA,ERP017005,Rhamphochromis longiceps
ERR1749492,302,31546934194,PRJEB15289,SAMEA4033272,ERX1818672,HiSeq X Ten,DN461233J:D7,PAIRED,RANDOM,GENOMIC,Rhamphochromis longiceps,ILLUMINA,ERP017005,Rhamphochromis longiceps
