seq_id,source,type,start,end,score,strand,phase,attributes
NC_036790.1,Gnomon,gene,1270488,1287322,.,-,.,ID=gene-ppox;Dbxref=GeneID:101474943;Name=ppox;gbkey=Gene;gene=ppox;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1293329,1352141,.,-,.,ID=gene-LOC101469354;Dbxref=GeneID:101469354;Name=LOC101469354;gbkey=Gene;gene=LOC101469354;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1353386,1362427,.,-,.,ID=gene-fbl;Dbxref=GeneID:101469813;Name=fbl;gbkey=Gene;gene=fbl;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1362520,1392868,.,+,.,ID=gene-LOC101475232;Dbxref=GeneID:101475232;Name=LOC101475232;gbkey=Gene;gene=LOC101475232;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1397924,1415611,.,-,.,ID=gene-slc6a20;Dbxref=GeneID:101470095;Name=slc6a20;gbkey=Gene;gene=slc6a20;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1478116,1492535,.,-,.,ID=gene-LOC101475529;Dbxref=GeneID:101475529;Name=LOC101475529;gbkey=Gene;gene=LOC101475529;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1500371,1503673,.,-,.,ID=gene-LOC106675115;Dbxref=GeneID:106675115;Name=LOC106675115;gbkey=Gene;gene=LOC106675115;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1523150,1540817,.,+,.,ID=gene-gpd1l;Dbxref=GeneID:101470388;Name=gpd1l;gbkey=Gene;gene=gpd1l;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1542606,1561378,.,+,.,ID=gene-tcaim;Dbxref=GeneID:101471351;Name=tcaim;gbkey=Gene;gene=tcaim;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1568246,1572304,.,-,.,ID=gene-LOC101472416;Dbxref=GeneID:101472416;Name=LOC101472416;gbkey=Gene;gene=LOC101472416;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1576209,1581855,.,-,.,ID=gene-calhm6;Dbxref=GeneID:101472712;Name=calhm6;gbkey=Gene;gene=calhm6;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1583189,1599643,.,+,.,ID=gene-cnot10;Dbxref=GeneID:101473011;Name=cnot10;gbkey=Gene;gene=cnot10;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1607559,1616232,.,-,.,ID=gene-bves;Dbxref=GeneID:101473898;Name=bves;gbkey=Gene;gene=bves;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1616366,1628118,.,-,.,ID=gene-popdc3;Dbxref=GeneID:101474193;Name=popdc3;gbkey=Gene;gene=popdc3;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1647597,1649163,.,-,.,ID=gene-LOC101474471;Dbxref=GeneID:101474471;Name=LOC101474471;gbkey=Gene;gene=LOC101474471;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,1656075,1670445,.,-,.,ID=gene-znf852;Dbxref=GeneID:101475822;Name=znf852;gbkey=Gene;gene=znf852;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1722016,1763462,.,+,.,ID=gene-tgfb2;Dbxref=GeneID:101469764;Name=tgfb2;gbkey=Gene;gene=tgfb2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1768962,1788434,.,+,.,ID=gene-LOC101469313;Dbxref=GeneID:101469313;Name=LOC101469313;gbkey=Gene;gene=LOC101469313;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1803299,1829199,.,-,.,ID=gene-LOC101469113;Dbxref=GeneID:101469113;Name=LOC101469113;gbkey=Gene;gene=LOC101469113;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,1933807,1950619,.,-,.,ID=gene-abhd5;Dbxref=GeneID:101468819;Name=abhd5;gbkey=Gene;gene=abhd5;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1950119,1993764,.,+,.,ID=gene-ano10;Dbxref=GeneID:101467922;Name=ano10;gbkey=Gene;gene=ano10;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1998700,2052331,.,-,.,ID=gene-snrk;Dbxref=GeneID:101467404;Name=snrk;gbkey=Gene;gene=snrk;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2057357,2084673,.,+,.,ID=gene-pomgnt2;Dbxref=GeneID:101467114;Name=pomgnt2;gbkey=Gene;gene=pomgnt2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2121822,2204929,.,-,.,ID=gene-fam198a;Dbxref=GeneID:101466269;Name=fam198a;gbkey=Gene;gene=fam198a;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2275209,2319438,.,+,.,ID=gene-LOC101465777;Dbxref=GeneID:101465777;Name=LOC101465777;gbkey=Gene;gene=LOC101465777;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2390104,2391386,.,-,.,ID=gene-LOC112435528;Dbxref=GeneID:112435528;Name=LOC112435528;gbkey=Gene;gene=LOC112435528;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,2551804,2553643,.,-,.,ID=gene-LOC112435556;Dbxref=GeneID:112435556;Name=LOC112435556;gbkey=Gene;gene=LOC112435556;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2658662,2919675,.,+,.,ID=gene-LOC101472715;Dbxref=GeneID:101472715;Name=LOC101472715;gbkey=Gene;gene=LOC101472715;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2838931,2854079,.,-,.,ID=gene-LOC112435540;Dbxref=GeneID:112435540;Name=LOC112435540;gbkey=Gene;gene=LOC112435540;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,2875219,2877526,.,-,.,ID=gene-LOC112435541;Dbxref=GeneID:112435541;Name=LOC112435541;gbkey=Gene;gene=LOC112435541;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3084350,3085049,.,+,.,ID=gene-LOC106675713;Dbxref=GeneID:106675713;Name=LOC106675713;gbkey=Gene;gene=LOC106675713;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,3299331,3315580,.,+,.,ID=gene-LOC101464869;Dbxref=GeneID:101464869;Name=LOC101464869;gbkey=Gene;gene=LOC101464869;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3324943,3570326,.,+,.,ID=gene-LOC101465160;Dbxref=GeneID:101465160;Name=LOC101465160;gbkey=Gene;gene=LOC101465160;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3573543,3576191,.,+,.,ID=gene-LOC101466223;Dbxref=GeneID:101466223;Name=LOC101466223;gbkey=Gene;gene=LOC101466223;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3715208,3764347,.,+,.,ID=gene-znrf2;Dbxref=GeneID:101466515;Name=znrf2;gbkey=Gene;gene=znrf2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3769392,3782594,.,-,.,ID=gene-nod1;Dbxref=GeneID:101466792;Name=nod1;gbkey=Gene;gene=nod1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3811835,3831126,.,+,.,ID=gene-LOC101467069;Dbxref=GeneID:101467069;Name=LOC101467069;gbkey=Gene;gene=LOC101467069;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3831498,3842001,.,+,.,ID=gene-LOC101474658;Dbxref=GeneID:101474658;Name=LOC101474658;gbkey=Gene;gene=LOC101474658;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3867554,3906104,.,-,.,"ID=gene-LOC112435594;Dbxref=GeneID:112435594;Name=LOC112435594;end_range=3906104,.;gbkey=Gene;gene=LOC112435594;gene_biotype=protein_coding;partial=true"
NC_036790.1,Gnomon,gene,3926712,3930544,.,+,.,ID=gene-LOC112435557;Dbxref=GeneID:112435557;Name=LOC112435557;gbkey=Gene;gene=LOC112435557;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3962935,3970306,.,+,.,ID=gene-LOC101465485;Dbxref=GeneID:101465485;Name=LOC101465485;gbkey=Gene;gene=LOC101465485;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3972622,3982313,.,-,.,ID=gene-gadl1;Dbxref=GeneID:101474037;Name=gadl1;gbkey=Gene;gene=gadl1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,3991271,4069618,.,+,.,ID=gene-LOC101465204;Dbxref=GeneID:101465204;Name=LOC101465204;gbkey=Gene;gene=LOC101465204;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4070130,4073237,.,-,.,ID=gene-kiaa1143;Dbxref=GeneID:101463959;Name=kiaa1143;gbkey=Gene;gene=kiaa1143;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4073424,4077543,.,+,.,ID=gene-carf;Dbxref=GeneID:101464428;Name=carf;gbkey=Gene;gene=carf;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4077812,4079719,.,+,.,ID=gene-LOC111501021;Dbxref=GeneID:111501021;Name=LOC111501021;gbkey=Gene;gene=LOC111501021;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4080286,4097877,.,-,.,ID=gene-LOC101488043;Dbxref=GeneID:101488043;Name=LOC101488043;gbkey=Gene;gene=LOC101488043;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4157891,4161799,.,+,.,ID=gene-LOC101487775;Dbxref=GeneID:101487775;Name=LOC101487775;gbkey=Gene;gene=LOC101487775;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4161800,4195791,.,-,.,ID=gene-LOC101487483;Dbxref=GeneID:101487483;Name=LOC101487483;gbkey=Gene;gene=LOC101487483;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4239300,4243243,.,+,.,ID=gene-fam210a;Dbxref=GeneID:101487190;Name=fam210a;gbkey=Gene;gene=fam210a;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4269132,4534486,.,-,.,ID=gene-ldlrad4;Dbxref=GeneID:101486909;Name=ldlrad4;gbkey=Gene;gene=ldlrad4;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4537249,4570856,.,-,.,ID=gene-cep192;Dbxref=GeneID:101486238;Name=cep192;gbkey=Gene;gene=cep192;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4571942,4582653,.,-,.,ID=gene-seh1l;Dbxref=GeneID:101485381;Name=seh1l;gbkey=Gene;gene=seh1l;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4583327,4593430,.,+,.,ID=gene-LOC101484899;Dbxref=GeneID:101484899;Name=LOC101484899;gbkey=Gene;gene=LOC101484899;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4595790,4609296,.,+,.,ID=gene-cep76;Dbxref=GeneID:101484612;Name=cep76;gbkey=Gene;gene=cep76;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4718300,4724810,.,-,.,ID=gene-LOC101484432;Dbxref=GeneID:101484432;Name=LOC101484432;gbkey=Gene;gene=LOC101484432;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,4773774,4777330,.,+,.,ID=gene-LOC101483990;Dbxref=GeneID:101483990;Name=LOC101483990;gbkey=Gene;gene=LOC101483990;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4851110,4917242,.,+,.,ID=gene-LOC101483112;Dbxref=GeneID:101483112;Name=LOC101483112;gbkey=Gene;gene=LOC101483112;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4919904,4938031,.,-,.,ID=gene-LOC101482459;Dbxref=GeneID:101482459;Name=LOC101482459;gbkey=Gene;gene=LOC101482459;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4938748,4941650,.,+,.,ID=gene-znf706;Dbxref=GeneID:101482161;Name=znf706;gbkey=Gene;gene=znf706;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4945984,4957292,.,+,.,ID=gene-LOC101481383;Dbxref=GeneID:101481383;Name=LOC101481383;gbkey=Gene;gene=LOC101481383;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4958219,4963656,.,+,.,ID=gene-LOC101481678;Dbxref=GeneID:101481678;Name=LOC101481678;gbkey=Gene;gene=LOC101481678;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,4965708,5003041,.,+,.,ID=gene-rnf19a;Dbxref=GeneID:101479921;Name=rnf19a;gbkey=Gene;gene=rnf19a;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5003454,5016294,.,-,.,ID=gene-spag1;Dbxref=GeneID:101480415;Name=spag1;gbkey=Gene;gene=spag1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5016213,5021061,.,+,.,ID=gene-fbxo43;Dbxref=GeneID:101480897;Name=fbxo43;gbkey=Gene;gene=fbxo43;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5021417,5035796,.,+,.,ID=gene-rgs22;Dbxref=GeneID:101473444;Name=rgs22;gbkey=Gene;gene=rgs22;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5035345,5334006,.,-,.,ID=gene-vps13b;Dbxref=GeneID:101479265;Name=vps13b;gbkey=Gene;gene=vps13b;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5337877,5342153,.,-,.,ID=gene-osr2;Dbxref=GeneID:101478794;Name=osr2;gbkey=Gene;gene=osr2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5420101,5422376,.,-,.,ID=gene-kcns2;Dbxref=GeneID:101478052;Name=kcns2;gbkey=Gene;gene=kcns2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5422551,5457711,.,+,.,ID=gene-nipal2;Dbxref=GeneID:101478326;Name=nipal2;gbkey=Gene;gene=nipal2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5458294,5471594,.,-,.,ID=gene-pop1;Dbxref=GeneID:101473147;Name=pop1;gbkey=Gene;gene=pop1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5471849,5476346,.,+,.,ID=gene-LOC101477768;Dbxref=GeneID:101477768;Name=LOC101477768;gbkey=Gene;gene=LOC101477768;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5477072,5484340,.,-,.,ID=gene-LOC101477301;Dbxref=GeneID:101477301;Name=LOC101477301;gbkey=Gene;gene=LOC101477301;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5484690,5493902,.,-,.,ID=gene-matn2;Dbxref=GeneID:101476834;Name=matn2;gbkey=Gene;gene=matn2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5495760,5508002,.,-,.,ID=gene-LOC101476554;Dbxref=GeneID:101476554;Name=LOC101476554;gbkey=Gene;gene=LOC101476554;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5509211,5516423,.,-,.,ID=gene-LOC101476265;Dbxref=GeneID:101476265;Name=LOC101476265;gbkey=Gene;gene=LOC101476265;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5522958,5553505,.,-,.,ID=gene-ubr5;Dbxref=GeneID:101474432;Name=ubr5;gbkey=Gene;gene=ubr5;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5559803,5562293,.,+,.,ID=gene-LOC101473554;Dbxref=GeneID:101473554;Name=LOC101473554;gbkey=Gene;gene=LOC101473554;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5562654,5572215,.,-,.,ID=gene-azin1;Dbxref=GeneID:101473053;Name=azin1;gbkey=Gene;gene=azin1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5575604,5583414,.,+,.,ID=gene-atp6v1c1;Dbxref=GeneID:101472761;Name=atp6v1c1;gbkey=Gene;gene=atp6v1c1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5601065,5602153,.,+,.,ID=gene-LOC101472572;Dbxref=GeneID:101472572;Name=LOC101472572;gbkey=Gene;gene=LOC101472572;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5644077,5672359,.,+,.,"ID=gene-LOC112429776;Dbxref=GeneID:112429776;Name=LOC112429776;end_range=5672359,.;gbkey=Gene;gene=LOC112429776;gene_biotype=protein_coding;partial=true"
NC_036790.1,Gnomon,gene,5681454,5693833,.,+,.,ID=gene-LOC106675754;Dbxref=GeneID:106675754;Name=LOC106675754;gbkey=Gene;gene=LOC106675754;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5695470,5698773,.,+,.,ID=gene-LOC112435595;Dbxref=GeneID:112435595;Name=LOC112435595;gbkey=Gene;gene=LOC112435595;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,5712092,5713561,.,+,.,ID=gene-LOC112435599;Dbxref=GeneID:112435599;Name=LOC112435599;gbkey=Gene;gene=LOC112435599;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,5725321,5741641,.,+,.,ID=gene-LOC101471109;Dbxref=GeneID:101471109;Name=LOC101471109;gbkey=Gene;gene=LOC101471109;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5748430,5777744,.,+,.,ID=gene-LOC101470834;Dbxref=GeneID:101470834;Name=LOC101470834;gbkey=Gene;gene=LOC101470834;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5827943,5839462,.,+,.,ID=gene-LOC105941114;Dbxref=GeneID:105941114;Name=LOC105941114;gbkey=Gene;gene=LOC105941114;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5841998,5844575,.,+,.,ID=gene-LOC105941109;Dbxref=GeneID:105941109;Name=LOC105941109;gbkey=Gene;gene=LOC105941109;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5845449,5851434,.,+,.,ID=gene-LOC101471986;Dbxref=GeneID:101471986;Name=LOC101471986;gbkey=Gene;gene=LOC101471986;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5856980,5858258,.,-,.,ID=gene-LOC101470533;Dbxref=GeneID:101470533;Name=LOC101470533;gbkey=Gene;gene=LOC101470533;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5862192,5865970,.,+,.,ID=gene-LOC101469312;Dbxref=GeneID:101469312;Name=LOC101469312;gbkey=Gene;gene=LOC101469312;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5866573,5872475,.,+,.,ID=gene-LOC101469763;Dbxref=GeneID:101469763;Name=LOC101469763;gbkey=Gene;gene=LOC101469763;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5874614,5892243,.,+,.,ID=gene-LOC101470237;Dbxref=GeneID:101470237;Name=LOC101470237;gbkey=Gene;gene=LOC101470237;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5894395,5904823,.,+,.,ID=gene-LOC105941111;Dbxref=GeneID:105941111;Name=LOC105941111;gbkey=Gene;gene=LOC105941111;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5917183,5920293,.,+,.,ID=gene-LOC106674465;Dbxref=GeneID:106674465;Name=LOC106674465;gbkey=Gene;gene=LOC106674465;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5920754,5922988,.,+,.,ID=gene-LOC112435560;Dbxref=GeneID:112435560;Name=LOC112435560;gbkey=Gene;gene=LOC112435560;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5924111,5925813,.,+,.,ID=gene-LOC101468721;Dbxref=GeneID:101468721;Name=LOC101468721;gbkey=Gene;gene=LOC101468721;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5928403,5932892,.,+,.,ID=gene-LOC101468224;Dbxref=GeneID:101468224;Name=LOC101468224;gbkey=Gene;gene=LOC101468224;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5934054,5939734,.,+,.,ID=gene-LOC101467720;Dbxref=GeneID:101467720;Name=LOC101467720;gbkey=Gene;gene=LOC101467720;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5943384,5946923,.,+,.,ID=gene-LOC101466917;Dbxref=GeneID:101466917;Name=LOC101466917;gbkey=Gene;gene=LOC101466917;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5946040,5959431,.,-,.,ID=gene-LOC101467403;Dbxref=GeneID:101467403;Name=LOC101467403;gbkey=Gene;gene=LOC101467403;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5961768,5970788,.,+,.,ID=gene-LOC101466650;Dbxref=GeneID:101466650;Name=LOC101466650;gbkey=Gene;gene=LOC101466650;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,5973053,6124188,.,+,.,"ID=gene-LOC101465983;Dbxref=GeneID:101465983;Name=LOC101465983;end_range=6124188,.;gbkey=Gene;gene=LOC101465983;gene_biotype=protein_coding;partial=true"
NC_036790.1,Gnomon,gene,6131144,6285753,.,+,.,"ID=gene-LOC101465895;Dbxref=GeneID:101465895;Name=LOC101465895;gbkey=Gene;gene=LOC101465895;gene_biotype=protein_coding;partial=true;start_range=.,6131144"
NC_036790.1,Gnomon,gene,6286606,6300318,.,-,.,ID=gene-mrpl13;Dbxref=GeneID:101465597;Name=mrpl13;gbkey=Gene;gene=mrpl13;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6300538,6304309,.,+,.,ID=gene-dscc1;Dbxref=GeneID:101465323;Name=dscc1;gbkey=Gene;gene=dscc1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6307306,6330004,.,-,.,ID=gene-cpq;Dbxref=GeneID:101486454;Name=cpq;gbkey=Gene;gene=cpq;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6331696,6340884,.,-,.,ID=gene-LOC101485953;Dbxref=GeneID:101485953;Name=LOC101485953;gbkey=Gene;gene=LOC101485953;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6342566,6354165,.,-,.,ID=gene-mrs2;Dbxref=GeneID:101485495;Name=mrs2;gbkey=Gene;gene=mrs2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6348821,6352097,.,+,.,ID=gene-LOC101484829;Dbxref=GeneID:101484829;Name=LOC101484829;gbkey=Gene;gene=LOC101484829;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6355034,6363396,.,+,.,ID=gene-LOC101484181;Dbxref=GeneID:101484181;Name=LOC101484181;gbkey=Gene;gene=LOC101484181;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6364120,6366839,.,+,.,ID=gene-LOC101483909;Dbxref=GeneID:101483909;Name=LOC101483909;gbkey=Gene;gene=LOC101483909;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6366956,6433993,.,-,.,ID=gene-ptk2;Dbxref=GeneID:101465038;Name=ptk2;gbkey=Gene;gene=ptk2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6436627,6448372,.,-,.,ID=gene-LOC101483424;Dbxref=GeneID:101483424;Name=LOC101483424;gbkey=Gene;gene=LOC101483424;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6454585,6463329,.,+,.,ID=gene-LOC101482955;Dbxref=GeneID:101482955;Name=LOC101482955;gbkey=Gene;gene=LOC101482955;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6463962,6480629,.,+,.,ID=gene-zfat;Dbxref=GeneID:101482648;Name=zfat;gbkey=Gene;gene=zfat;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6481056,6522711,.,+,.,ID=gene-mtbp;Dbxref=GeneID:101464750;Name=mtbp;gbkey=Gene;gene=mtbp;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6534543,6573014,.,-,.,ID=gene-sntb1;Dbxref=GeneID:101482367;Name=sntb1;gbkey=Gene;gene=sntb1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6577381,6582081,.,+,.,ID=gene-LOC101481308;Dbxref=GeneID:101481308;Name=LOC101481308;gbkey=Gene;gene=LOC101481308;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6584365,6598934,.,-,.,ID=gene-nov;Dbxref=GeneID:101481011;Name=nov;gbkey=Gene;gene=nov;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6607818,6621422,.,-,.,ID=gene-LOC101480735;Dbxref=GeneID:101480735;Name=LOC101480735;gbkey=Gene;gene=LOC101480735;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6621626,6703563,.,-,.,ID=gene-carmil1;Dbxref=GeneID:101480246;Name=carmil1;gbkey=Gene;gene=carmil1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6704227,6725875,.,-,.,ID=gene-LOC101474130;Dbxref=GeneID:101474130;Name=LOC101474130;gbkey=Gene;gene=LOC101474130;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,6704620,6706186,.,-,.,ID=gene-LOC105941237;Dbxref=GeneID:105941237;Name=LOC105941237;gbkey=Gene;gene=LOC105941237;gene_biotype=protein_coding
