SampleID,RunID,ReadLength,TotalBases,ProjectID,Instrument,LibraryID,LibraryLayout,LibrarySource,Platform,FileLocations,Organism,Ecogroup,File,ProjectID_2
SAMEA4032138,ERR1822249,302,33157518012,PRJEB15289,HiSeq X Ten,DN461234K:G11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1822249.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic,,MalinskyData
SAMEA4033333,ERR1822250,302,33999548070,PRJEB15289,HiSeq X Ten,DN461234K:G12,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1822250.unmapped_marked_adapters.bam,Astatotilapia bloyeti,Riverine,,MalinskyData
SAMEA4033334,ERR1822251,302,38287680196,PRJEB15289,HiSeq X Ten,DN461234K:H12,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1822251.unmapped_marked_adapters.bam,Astatotilapia bloyeti,Riverine,,MalinskyData
SAMEA4033335,ERR1743775,302,30234733322,PRJEB15289,HiSeq X Ten,DN461383W:A1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743775.unmapped_marked_adapters.bam,Serranochromis robustus,Riverine,,MalinskyData
SAMEA4033336,ERR1743776,302,30950771396,PRJEB15289,HiSeq X Ten,DN461383W:B1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743776.unmapped_marked_adapters.bam,Serranochromis angusticeps,Riverine,,MalinskyData
SAMEA4033337,ERR1743777,302,30783027610,PRJEB15289,HiSeq X Ten,DN461383W:C1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743777.unmapped_marked_adapters.bam,Pharyngochromis acuticeps,Riverine,,MalinskyData
SAMEA4033338,ERR1743778,302,28788187448,PRJEB15289,HiSeq X Ten,DN461383W:D1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743778.unmapped_marked_adapters.bam,Ctenochromis pectoralis,Riverine,,MalinskyData
SAMEA4033339,ERR1743779,302,35033938840,PRJEB15289,HiSeq X Ten,DN461383W:D2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743779.unmapped_marked_adapters.bam,Astatotilapia tweddlei,Riverine,,MalinskyData
SAMEA4033340,ERR1743780,302,21708908506,PRJEB15289,HiSeq X Ten,DN461383W:F2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743780.unmapped_marked_adapters.bam,Astatotilapia tweddlei,Riverine,,MalinskyData
SAMEA4033341,ERR1743781,302,21275424048,PRJEB15289,HiSeq X Ten,DN461383W:G2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743781.unmapped_marked_adapters.bam,Astatotilapia bloyeti,Riverine,,MalinskyData
SAMEA4051559,ERR1743782,302,29319131836,PRJEB15289,HiSeq X Ten,DN461383W:H2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743782.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4051560,ERR1743783,302,26708064298,PRJEB15289,HiSeq X Ten,DN461383W:A3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1743783.unmapped_marked_adapters.bam,Lethrinops gossei,Deep_Benthic,,MalinskyData
SAMEA4032033,ERR1749396,302,25012334600,PRJEB15289,HiSeq X Ten,DN461233J:A1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749396.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033247,ERR1749397,302,28152291114,PRJEB15289,HiSeq X Ten,DN461233J:B1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749397.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032034,ERR1749398,302,27622558652,PRJEB15289,HiSeq X Ten,DN461233J:C1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749398.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033248,ERR1749399,302,30170849450,PRJEB15289,HiSeq X Ten,DN461233J:D1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749399.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032035,ERR1749400,302,18720703368,PRJEB15289,HiSeq X Ten,DN461233J:E1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749400.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033249,ERR1749401,302,24696117950,PRJEB15289,HiSeq X Ten,DN461233J:F1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749401.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032036,ERR1749402,302,25420674236,PRJEB15289,HiSeq X Ten,DN461233J:G1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749402.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033250,ERR1749403,302,34090634290,PRJEB15289,HiSeq X Ten,DN461233J:H1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749403.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032037,ERR1749404,302,30051580590,PRJEB15289,HiSeq X Ten,DN461233J:A2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749404.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033251,ERR1749405,302,23228266278,PRJEB15289,HiSeq X Ten,DN461233J:B2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749405.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032038,ERR1749406,302,28347679376,PRJEB15289,HiSeq X Ten,DN461233J:C2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749406.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033252,ERR1749407,302,28098976638,PRJEB15289,HiSeq X Ten,DN461233J:D2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749407.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032039,ERR1749408,302,29233565270,PRJEB15289,HiSeq X Ten,DN461233J:E2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749408.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4033253,ERR1749409,302,25665482382,PRJEB15289,HiSeq X Ten,DN461233J:F2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749409.unmapped_marked_adapters.bam,Petrotilapia genalutea,Mbuna,,MalinskyData
SAMEA4032040,ERR1749410,302,30626780662,PRJEB15289,HiSeq X Ten,DN461233J:G2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749410.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033254,ERR1749411,302,33000460798,PRJEB15289,HiSeq X Ten,DN461233J:H2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749411.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032041,ERR1749412,302,30093909514,PRJEB15289,HiSeq X Ten,DN461233J:A3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749412.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033255,ERR1749413,302,27986162726,PRJEB15289,HiSeq X Ten,DN461233J:B3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749413.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032042,ERR1749414,302,28578381404,PRJEB15289,HiSeq X Ten,DN461233J:C3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749414.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033256,ERR1749415,302,23138427016,PRJEB15289,HiSeq X Ten,DN461233J:D3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749415.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032107,ERR1749416,302,26857670568,PRJEB15289,HiSeq X Ten,DN461234K:E3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749416.unmapped_marked_adapters.bam,Tyrannochromis macrostoma,Shallow_Benthic,,MalinskyData
SAMEA4033303,ERR1749417,302,28031447928,PRJEB15289,HiSeq X Ten,DN461234K:F3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749417.unmapped_marked_adapters.bam,Tyrannochromis macrostoma,Shallow_Benthic,,MalinskyData
SAMEA4033304,ERR1749418,302,30053097536,PRJEB15289,HiSeq X Ten,DN461234K:B4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749418.unmapped_marked_adapters.bam,Buccochromis nototaenia,Shallow_Benthic,,MalinskyData
SAMEA4032108,ERR1749419,302,29488970898,PRJEB15289,HiSeq X Ten,DN461234K:C4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749419.unmapped_marked_adapters.bam,Buccochromis nototaenia,Shallow_Benthic,,MalinskyData
SAMEA4033305,ERR1749420,302,32794644174,PRJEB15289,HiSeq X Ten,DN461234K:D4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749420.unmapped_marked_adapters.bam,Buccochromis nototaenia,Shallow_Benthic,,MalinskyData
SAMEA4032109,ERR1749421,302,31505152192,PRJEB15289,HiSeq X Ten,DN461234K:E4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749421.unmapped_marked_adapters.bam,Protomelas similis,Shallow_Benthic,,MalinskyData
SAMEA4033306,ERR1749422,302,26684346124,PRJEB15289,HiSeq X Ten,DN461234K:F4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749422.unmapped_marked_adapters.bam,Protomelas similis,Shallow_Benthic,,MalinskyData
SAMEA4032110,ERR1749423,302,28527923546,PRJEB15289,HiSeq X Ten,DN461234K:G4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749423.unmapped_marked_adapters.bam,Protomelas similis,Shallow_Benthic,,MalinskyData
SAMEA4033307,ERR1749424,302,33112703628,PRJEB15289,HiSeq X Ten,DN461234K:H4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749424.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic,,MalinskyData
SAMEA4032111,ERR1749425,302,31275921206,PRJEB15289,HiSeq X Ten,DN461234K:A5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749425.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic,,MalinskyData
SAMEA4033308,ERR1749426,302,25207647362,PRJEB15289,HiSeq X Ten,DN461234K:B5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749426.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic,,MalinskyData
SAMEA4032112,ERR1749427,302,32681296628,PRJEB15289,HiSeq X Ten,DN461234K:C5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749427.unmapped_marked_adapters.bam,Dimidiochromis strigatus,Shallow_Benthic,,MalinskyData
SAMEA4033309,ERR1749428,302,33208444574,PRJEB15289,HiSeq X Ten,DN461234K:D5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749428.unmapped_marked_adapters.bam,Dimidiochromis strigatus,Shallow_Benthic,,MalinskyData
SAMEA4033310,ERR1749429,302,32266262558,PRJEB15289,HiSeq X Ten,DN461234K:F5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749429.unmapped_marked_adapters.bam,Mylochromis anaphyrmus,Shallow_Benthic,,MalinskyData
SAMEA4032113,ERR1749430,302,30727927710,PRJEB15289,HiSeq X Ten,DN461234K:G5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749430.unmapped_marked_adapters.bam,Mylochromis anaphyrmus,Shallow_Benthic,,MalinskyData
SAMEA4033311,ERR1749431,302,33751178438,PRJEB15289,HiSeq X Ten,DN461234K:H5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749431.unmapped_marked_adapters.bam,Mylochromis anaphyrmus,Shallow_Benthic,,MalinskyData
SAMEA4032114,ERR1749432,302,26232032872,PRJEB15289,HiSeq X Ten,DN461234K:C6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749432.unmapped_marked_adapters.bam,Taeniolethrinops praeorbitalis,Shallow_Benthic,,MalinskyData
SAMEA4033312,ERR1749433,302,33143274786,PRJEB15289,HiSeq X Ten,DN461234K:D6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749433.unmapped_marked_adapters.bam,Taeniolethrinops praeorbitalis,Shallow_Benthic,,MalinskyData
SAMEA4033313,ERR1749434,302,30106925412,PRJEB15289,HiSeq X Ten,DN461234K:E6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749434.unmapped_marked_adapters.bam,Taeniolethrinops furcicauda,Shallow_Benthic,,MalinskyData
SAMEA4032115,ERR1749435,302,29794163642,PRJEB15289,HiSeq X Ten,DN461234K:F6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749435.unmapped_marked_adapters.bam,Taeniolethrinops furcicauda yellow,Shallow_Benthic,,MalinskyData
SAMEA4033314,ERR1749436,302,28959824920,PRJEB15289,HiSeq X Ten,DN461234K:G6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749436.unmapped_marked_adapters.bam,Lethrinops longipinnis,Deep_Benthic,,MalinskyData
SAMEA4033315,ERR1749437,302,36536657318,PRJEB15289,HiSeq X Ten,DN461234K:H6,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749437.unmapped_marked_adapters.bam,Lethrinops longipinnis,Deep_Benthic,,MalinskyData
SAMEA4032123,ERR1749438,302,31216861180,PRJEB15289,HiSeq X Ten,DN461234K:A7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749438.unmapped_marked_adapters.bam,Tramitichromis brevis,Shallow_Benthic,,MalinskyData
SAMEA4033316,ERR1749439,302,31384094586,PRJEB15289,HiSeq X Ten,DN461234K:B7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749439.unmapped_marked_adapters.bam,Tramitichromis brevis,Shallow_Benthic,,MalinskyData
SAMEA4032124,ERR1749440,302,26163608732,PRJEB15289,HiSeq X Ten,DN461234K:C7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749440.unmapped_marked_adapters.bam,Sciaenochromis benthicola,Deep_Benthic,,MalinskyData
SAMEA4033317,ERR1749441,302,32866859018,PRJEB15289,HiSeq X Ten,DN461234K:D7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749441.unmapped_marked_adapters.bam,Sciaenochromis benthicola,Deep_Benthic,,MalinskyData
SAMEA4033318,ERR1749442,302,32028532688,PRJEB15289,HiSeq X Ten,DN461234K:F7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749442.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa black pelvis,Diplotaxodon,,MalinskyData
SAMEA4032125,ERR1749443,302,30707657772,PRJEB15289,HiSeq X Ten,DN461234K:G7,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749443.unmapped_marked_adapters.bam,Diplotaxodon apogon,Diplotaxodon,,MalinskyData
SAMEA4032126,ERR1749444,302,30006442764,PRJEB15289,HiSeq X Ten,DN461234K:C8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749444.unmapped_marked_adapters.bam,Rhamphochromis woodi,Rhamphochromis,,MalinskyData
SAMEA4033320,ERR1749445,302,31201985868,PRJEB15289,HiSeq X Ten,DN461234K:D8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749445.unmapped_marked_adapters.bam,Maylandia emmiltos,Mbuna,,MalinskyData
SAMEA4032127,ERR1749446,302,34719625394,PRJEB15289,HiSeq X Ten,DN461234K:E8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749446.unmapped_marked_adapters.bam,Maylandia emmiltos,Mbuna,,MalinskyData
SAMEA4033321,ERR1749447,302,30585139694,PRJEB15289,HiSeq X Ten,DN461234K:F8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749447.unmapped_marked_adapters.bam,Maylandia fainzilberi,Mbuna,,MalinskyData
SAMEA4032128,ERR1749448,302,38587622066,PRJEB15289,HiSeq X Ten,DN461234K:G8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749448.unmapped_marked_adapters.bam,Maylandia fainzilberi,Mbuna,,MalinskyData
SAMEA4033322,ERR1749449,302,33650461136,PRJEB15289,HiSeq X Ten,DN461234K:H8,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749449.unmapped_marked_adapters.bam,Maylandia fainzilberi,Mbuna,,MalinskyData
SAMEA4032129,ERR1749450,302,33599677118,PRJEB15289,HiSeq X Ten,DN461234K:A9,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749450.unmapped_marked_adapters.bam,Maylandia fainzilberi,Mbuna,,MalinskyData
SAMEA4032130,ERR1749451,302,38743509030,PRJEB15289,HiSeq X Ten,DN461234K:G9,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749451.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032131,ERR1749452,302,33059341738,PRJEB15289,HiSeq X Ten,DN461234K:A10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749452.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033324,ERR1749453,302,40049510144,PRJEB15289,HiSeq X Ten,DN461234K:B10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749453.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032132,ERR1749454,302,31532999310,PRJEB15289,HiSeq X Ten,DN461234K:C10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749454.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033325,ERR1749455,302,27531312070,PRJEB15289,HiSeq X Ten,DN461234K:D10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749455.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033326,ERR1749456,302,26016037942,PRJEB15289,HiSeq X Ten,DN461234K:E10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749456.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032134,ERR1749457,302,27999362542,PRJEB15289,HiSeq X Ten,DN461234K:F10,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749457.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033327,ERR1749458,302,42197589636,PRJEB15289,HiSeq X Ten,DN461234K:A11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749458.unmapped_marked_adapters.bam,Lethrinops gossei,Deep_Benthic,,MalinskyData
SAMEA4032136,ERR1749459,302,28028089990,PRJEB15289,HiSeq X Ten,DN461234K:C11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749459.unmapped_marked_adapters.bam,Diplotaxodon similis large,Diplotaxodon,,MalinskyData
SAMEA4033329,ERR1749460,302,29005644360,PRJEB15289,HiSeq X Ten,DN461234K:D11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749460.unmapped_marked_adapters.bam,Diplotaxodon similis,Diplotaxodon,,MalinskyData
SAMEA4032043,ERR1749461,302,31586387172,PRJEB15289,HiSeq X Ten,DN461233J:E3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749461.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033257,ERR1749462,302,31674592010,PRJEB15289,HiSeq X Ten,DN461233J:F3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749462.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032044,ERR1749463,302,31255445908,PRJEB15289,HiSeq X Ten,DN461233J:G3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749463.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033258,ERR1749464,302,32609311908,PRJEB15289,HiSeq X Ten,DN461233J:H3,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749464.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032045,ERR1749465,302,30103416474,PRJEB15289,HiSeq X Ten,DN461233J:A4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749465.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4033259,ERR1749466,302,28369403746,PRJEB15289,HiSeq X Ten,DN461233J:B4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749466.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic,,MalinskyData
SAMEA4032046,ERR1749467,302,31292027772,PRJEB15289,HiSeq X Ten,DN461233J:C4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749467.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033260,ERR1749468,302,34020213326,PRJEB15289,HiSeq X Ten,DN461233J:D4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749468.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032047,ERR1749469,302,34427438884,PRJEB15289,HiSeq X Ten,DN461233J:E4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749469.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033261,ERR1749470,302,31025248220,PRJEB15289,HiSeq X Ten,DN461233J:F4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749470.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032048,ERR1749471,302,27749771622,PRJEB15289,HiSeq X Ten,DN461233J:G4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749471.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033262,ERR1749472,302,29238810708,PRJEB15289,HiSeq X Ten,DN461233J:H4,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749472.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032049,ERR1749473,302,32422463602,PRJEB15289,HiSeq X Ten,DN461233J:A5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749473.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033263,ERR1749474,302,30179240822,PRJEB15289,HiSeq X Ten,DN461233J:B5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749474.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4032050,ERR1749475,302,35057801672,PRJEB15289,HiSeq X Ten,DN461233J:C5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749475.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka,,MalinskyData
SAMEA4033264,ERR1749476,302,35200683912,PRJEB15289,HiSeq X Ten,DN461233J:D5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749476.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic,,MalinskyData
SAMEA4032051,ERR1749477,302,30597568806,PRJEB15289,HiSeq X Ten,DN461233J:E5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749477.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic,,MalinskyData
SAMEA4033265,ERR1749478,302,30800021150,PRJEB15289,HiSeq X Ten,DN461233J:F5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749478.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic,,MalinskyData
SAMEA4032052,ERR1749479,302,29741568530,PRJEB15289,HiSeq X Ten,DN461233J:G5,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1749479.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic,,MalinskyData
